"V0","clusters"
"NUI3711","T3"
"NUI3712","T1"
"NUI3713","T1"
"NUI3714","T1"
"NUI3715","T2"
"NUI3716","T1"
"NUI3717","T1"
"NUI3718","T1"
"NUI3719","T3"
"NUI3720","T1"
"NUI3721","T3"
"NUI3722","T1"
"NUI3723","T1"
"NUI3724","T1"
"NUI3738","T1"
"NUI3726","T1"
"NUI3727","T1"
"NUI3742","T2"
"NUI3743","T2"
"NUI3725","T1"
"NUI3653","T1"
"NUI3647","T1"
"NUI3602","T1"
"NUI3601","T1"
"NUI2697","T3"
"NUI2696","T2"
"NUI2270","T4"
"NUI2274","T4"
"NUI3317","T1"
"NUI3432","T4"
"NUI3292","T1"
"NUI3241","T2"
"NUI3426","T1"
"NUI3425","T2"
"NUI3429","T1"
"NUI3427","T1"
"NUI3431","T1"
"NUI3430","T1"
"NUI3434","T2"
"NUI3313","T1"
"NUI3418","T1"
"NUI3417","T1"
"NUI3420","T1"
"NUI3419","T1"
"NUI3422","T1"
"NUI3421","T1"
"NUI3433","T1"
"NUI3423","T1"
"NUI3320","T1"
"NUI3443","T2"
"NUI3359","T1"
"NUI3351","T1"
"NUI3428","T1"
"NUI3371","T1"
"NUI3408","T2"
"NUI3374","T3"
"NUI3436","T1"
"NUI3435","T2"
"NUI3438","T1"
"NUI3437","T1"
"NUI3440","T1"
"NUI3439","T4"
"NUI3442","T3"
"NUI3441","T1"
"NUI3394","T1"
"NUI3393","T1"
"NUI3396","T1"
"NUI3395","T1"
"NUI3398","T1"
"NUI3397","T1"
"NUI3400","T1"
"NUI3399","T1"
"NUI3386","T1"
"NUI3385","T1"
"NUI3388","T1"
"NUI3387","T1"
"NUI3390","T1"
"NUI3389","T1"
"NUI3392","T1"
"NUI3391","T1"
"NUI3411","T1"
"NUI3410","T1"
"NUI3445","T1"
"NUI3412","T1"
"NUI3414","T1"
"NUI3413","T1"
"NUI3416","T1"
"NUI3415","T1"
"NUI3402","T1"
"NUI3401","T1"
"NUI3404","T1"
"NUI3403","T1"
"NUI3406","T3"
"NUI3405","T1"
"NUI3409","T1"
"NUI3407","T1"
"NUI3360","T1"
"NUI3358","T1"
"NUI3362","T1"
"NUI3361","T1"
"NUI3364","T1"
"NUI3363","T1"
"NUI3366","T1"
"NUI3365","T1"
"NUI3350","T1"
"NUI3349","T1"
"NUI3353","T1"
"NUI3352","T1"
"NUI3355","T1"
"NUI3354","T1"
"NUI3357","T1"
"NUI3356","T1"
"NUI3378","T1"
"NUI3377","T1"
"NUI3380","T1"
"NUI3379","T1"
"NUI3382","T1"
"NUI3381","T1"
"NUI3384","T1"
"NUI3383","T1"
"NUI3368","T1"
"NUI3367","T3"
"NUI3370","T1"
"NUI3369","T1"
"NUI3373","T1"
"NUI3372","T1"
"NUI3376","T1"
"NUI3375","T1"
"NUI3326","T1"
"NUI3325","T1"
"NUI3328","T1"
"NUI3327","T1"
"NUI3330","T1"
"NUI3329","T1"
"NUI3332","T1"
"NUI3331","T1"
"NUI3318","T1"
"NUI3316","T1"
"NUI3321","T1"
"NUI3319","T1"
"NUI3323","T3"
"NUI3311","T1"
"NUI3324","T1"
"NUI3444","T1"
"NUI3342","T1"
"NUI3341","T1"
"NUI3344","T1"
"NUI3343","T1"
"NUI3346","T1"
"NUI3345","T1"
"NUI3348","T1"
"NUI3347","T1"
"NUI3334","T1"
"NUI3333","T1"
"NUI3336","T1"
"NUI3335","T1"
"NUI3338","T1"
"NUI3337","T1"
"NUI3340","T1"
"NUI3339","T1"
"NUI3182","T2"
"NUI2917","T2"
"NUI3068","T1"
"NUI3113","T2"
"NUI3179","T2"
"NUI3275","T4"
"NUI3157","T4"
"NUI3183","T1"
"NUI3041","T2"
"NUI3302","T2"
"NUI3301","T2"
"NUI3297","T4"
"NUI3033","T2"
"NUI3124","T2"
"NUI3084","T1"
"NUI2898","T2"
"NUI3309","T1"
"NUI3308","T1"
"NUI3424","T1"
"NUI3310","T1"
"NUI3322","T1"
"NUI3312","T1"
"NUI3315","T1"
"NUI3314","T2"
"NUI3240","T2"
"NUI3201","T2"
"NUI3303","T1"
"NUI3121","T2"
"NUI3305","T1"
"NUI3304","T1"
"NUI3307","T1"
"NUI3306","T1"
"NUI3276","T2"
"NUI3274","T2"
"NUI3278","T2"
"NUI3277","T1"
"NUI3280","T2"
"NUI3279","T2"
"NUI3282","T2"
"NUI3281","T2"
"NUI3265","T2"
"NUI3267","T2"
"NUI3270","T1"
"NUI3269","T2"
"NUI3272","T2"
"NUI3271","T4"
"NUI3273","T2"
"NUI3300","T2"
"NUI3293","T2"
"NUI3291","T2"
"NUI3296","T2"
"NUI3294","T1"
"NUI3298","T1"
"NUI3236","T2"
"NUI3067","T2"
"NUI3299","T2"
"NUI3284","T2"
"NUI3283","T2"
"NUI3286","T2"
"NUI3285","T2"
"NUI3288","T2"
"NUI3287","T2"
"NUI3290","T3"
"NUI3289","T3"
"NUI3245","T2"
"NUI3244","T2"
"NUI3247","T3"
"NUI3246","T2"
"NUI3248","T2"
"NUI3249","T2"
"NUI3251","T2"
"NUI3250","T2"
"NUI3234","T2"
"NUI3233","T2"
"NUI3237","T2"
"NUI3235","T4"
"NUI3239","T1"
"NUI3238","T2"
"NUI3243","T2"
"NUI3242","T2"
"NUI3071","T2"
"NUI3260","T2"
"NUI3262","T2"
"NUI3261","T2"
"NUI3055","T2"
"NUI3263","T2"
"NUI3268","T2"
"NUI3266","T2"
"NUI3253","T2"
"NUI3252","T3"
"NUI3255","T2"
"NUI3254","T2"
"NUI3256","T2"
"NUI3258","T2"
"NUI3259","T2"
"NUI3257","T2"
"NUI3005","T2"
"NUI3211","T2"
"NUI3212","T2"
"NUI3213","T1"
"NUI2951","T4"
"NUI3214","T2"
"NUI3216","T1"
"NUI3215","T1"
"NUI3203","T2"
"NUI3200","T2"
"NUI3205","T2"
"NUI3204","T1"
"NUI3209","T2"
"NUI3207","T2"
"NUI3210","T2"
"NUI3208","T2"
"NUI3226","T2"
"NUI3225","T2"
"NUI3228","T2"
"NUI3227","T2"
"NUI3230","T1"
"NUI3229","T2"
"NUI3232","T2"
"NUI3231","T2"
"NUI3218","T2"
"NUI3217","T1"
"NUI3220","T4"
"NUI3219","T1"
"NUI3222","T2"
"NUI3221","T1"
"NUI3224","T2"
"NUI3223","T2"
"NUI3174","T2"
"NUI3173","T2"
"NUI3176","T3"
"NUI3175","T1"
"NUI3177","T2"
"NUI3178","T2"
"NUI3181","T2"
"NUI3180","T1"
"NUI3020","T2"
"NUI3166","T2"
"NUI3168","T2"
"NUI3167","T2"
"NUI3170","T2"
"NUI3169","T1"
"NUI3171","T2"
"NUI3172","T1"
"NUI3193","T1"
"NUI3192","T2"
"NUI3195","T2"
"NUI3194","T2"
"NUI3197","T2"
"NUI3196","T1"
"NUI3199","T2"
"NUI3198","T2"
"NUI3185","T4"
"NUI3184","T1"
"NUI3187","T2"
"NUI3186","T2"
"NUI3188","T2"
"NUI3189","T2"
"NUI3191","T1"
"NUI3190","T2"
"NUI3142","T2"
"NUI3141","T2"
"NUI3144","T2"
"NUI3143","T4"
"NUI3147","T2"
"NUI3146","T2"
"NUI3134","T2"
"NUI3148","T2"
"NUI3130","T2"
"NUI3129","T2"
"NUI3136","T2"
"NUI3132","T1"
"NUI3138","T2"
"NUI3137","T2"
"NUI3140","T2"
"NUI3139","T2"
"NUI3159","T1"
"NUI3158","T2"
"NUI3161","T2"
"NUI3160","T1"
"NUI3163","T2"
"NUI3162","T2"
"NUI3165","T2"
"NUI3164","T1"
"NUI3135","T2"
"NUI3150","T2"
"NUI3153","T2"
"NUI3151","T2"
"NUI3154","T3"
"NUI3152","T3"
"NUI3156","T2"
"NUI3155","T2"
"NUI3101","T2"
"NUI3102","T2"
"NUI3104","T2"
"NUI3131","T2"
"NUI3106","T2"
"NUI3105","T2"
"NUI3108","T2"
"NUI3107","T2"
"NUI3094","T2"
"NUI3093","T2"
"NUI3096","T2"
"NUI3095","T1"
"NUI3098","T1"
"NUI3097","T2"
"NUI3100","T2"
"NUI3099","T2"
"NUI3120","T2"
"NUI3119","T2"
"NUI3123","T2"
"NUI3122","T2"
"NUI3126","T3"
"NUI3125","T2"
"NUI3133","T2"
"NUI3127","T2"
"NUI3110","T2"
"NUI3109","T2"
"NUI3112","T3"
"NUI3111","T2"
"NUI3116","T2"
"NUI3114","T2"
"NUI3118","T2"
"NUI3117","T2"
"NUI3069","T1"
"NUI3066","T2"
"NUI3073","T2"
"NUI3070","T2"
"NUI3075","T4"
"NUI3074","T2"
"NUI3077","T2"
"NUI3076","T1"
"NUI3059","T2"
"NUI3058","T1"
"NUI3060","T1"
"NUI3072","T2"
